time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563177180.4681509,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.470157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.480151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.484153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.491153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.492153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4931529,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.495152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.496156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.497153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.498154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5051548,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.516151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5251539,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5271518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.53716,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5391538,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.540151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5471509,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.550153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.551151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5551538,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5631568,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.565155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.567152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.569155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.57315,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.574153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.575152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.576151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.5771508,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.578152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.592155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6021528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.603154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.604156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6051579,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.606155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6071548,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.608152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.609154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
